% from location i, to location j, time [sec], distance [meters]
0, 0, 0.000000, 0.000000
0, 1, 183.505157, 2055.257761
0, 2, 382.735735, 4286.640231
0, 3, 146.720157, 1643.265762
0, 4, 330.271056, 3699.035826
0, 5, 383.137397, 4291.138842
0, 6, 52.389009, 586.756906
0, 7, 160.029543, 1792.330886
0, 8, 103.627553, 1160.628590
0, 9, 147.105992, 1647.587109
0, 10, 136.063600, 1523.912316
0, 11, 295.250998, 3306.811183
0, 12, 401.118572, 4492.528011
0, 13, 71.767187, 803.792493
0, 14, 151.354654, 1695.172126
0, 15, 344.298115, 3856.138892
0, 16, 101.082486, 1132.123845
0, 17, 297.260737, 3329.320257
0, 18, 138.657924, 1552.968753
0, 19, 124.128301, 1390.236969
0, 20, 86.722355, 971.290376
0, 21, 140.985619, 1579.038929
0, 22, 241.379057, 2703.445434
0, 23, 386.184986, 4325.271843
0, 24, 76.827017, 860.462589
0, 25, 162.938675, 1824.913157
0, 26, 422.896777, 4736.443904
0, 27, 87.128528, 975.839508
0, 28, 223.298162, 2500.939414
0, 29, 440.355205, 4931.978298
0, 30, 373.634989, 4184.711879
0, 31, 234.920182, 2631.106040
0, 32, 94.002629, 1052.829449
0, 33, 236.488961, 2648.676367
0, 34, 133.273374, 1492.661784
0, 35, 165.313078, 1851.506471
0, 36, 94.768924, 1061.411945
0, 37, 364.397406, 4081.250950
0, 38, 359.620174, 4027.745951
0, 39, 359.658900, 4028.179679
0, 40, 61.392988, 687.601460
0, 41, 422.695894, 4734.194013
0, 42, 193.571951, 2168.005853
0, 43, 383.630720, 4296.664061
0, 44, 94.583904, 1059.339728
0, 45, 123.086260, 1378.566111
0, 46, 93.830710, 1050.903953
0, 47, 308.412467, 3454.219634
0, 48, 226.719335, 2539.256551
0, 49, 335.107931, 3753.208827
0, 50, 64.594631, 723.459871
0, 51, 296.011066, 3315.323936
0, 52, 358.842863, 4019.040068
0, 53, 334.360906, 3744.842151
0, 54, 175.772114, 1968.647673
0, 55, 162.851521, 1823.937034
0, 56, 151.789485, 1700.042230
0, 57, 179.623230, 2011.780181
0, 58, 277.963331, 3113.189310
0, 59, 69.412939, 777.424918
0, 60, 222.913045, 2496.626106
0, 61, 68.621097, 768.556285
0, 62, 170.516962, 1909.789978
0, 63, 250.516870, 2805.788947
0, 64, 157.684794, 1766.069689
0, 65, 87.309515, 977.866566
0, 66, 256.661474, 2874.608506
0, 67, 138.187759, 1547.702902
0, 68, 230.215752, 2578.416421
0, 69, 58.021430, 649.840018
0, 70, 62.975070, 705.320783
0, 71, 387.966476, 4345.224534
0, 72, 207.173522, 2320.343448
0, 73, 148.518288, 1663.404831
0, 74, 157.375633, 1762.607085
0, 75, 342.905223, 3840.538499
0, 76, 66.136505, 740.728853
0, 77, 124.187456, 1390.899506
0, 78, 369.682486, 4140.443838
0, 79, 321.152468, 3596.907643
0, 80, 286.783471, 3211.974870
0, 81, 354.701263, 3972.654145
0, 82, 230.227301, 2578.545767
0, 83, 142.973237, 1601.300257
0, 84, 164.861241, 1846.445895
0, 85, 129.653000, 1452.113597
0, 86, 303.279066, 3396.725544
0, 87, 399.280281, 4471.939150
0, 88, 126.379852, 1415.454337
0, 89, 377.845315, 4231.867530
0, 90, 127.227950, 1424.953044
0, 91, 71.447666, 800.213856
0, 92, 76.778165, 859.915449
0, 93, 59.061240, 661.485893
0, 94, 46.373912, 519.387819
0, 95, 130.546253, 1462.118031
0, 96, 415.797625, 4656.933403
0, 97, 135.277383, 1515.106694
0, 98, 294.575821, 3299.249192
0, 99, 321.189592, 3597.323433
0, 100, 127.018110, 1422.602828
1, 0, 183.505157, 2055.257761
1, 1, 0.000000, 0.000000
1, 2, 341.456692, 3824.314950
1, 3, 135.699138, 1519.830345
1, 4, 230.549667, 2582.156267
1, 5, 341.858354, 3828.813561
1, 6, 145.446711, 1629.003168
1, 7, 165.973064, 1858.898316
1, 8, 150.477001, 1685.342406
1, 9, 108.266549, 1212.585344
1, 10, 162.768680, 1823.009221
1, 11, 230.543771, 2582.090230
1, 12, 359.839530, 4030.202731
1, 13, 221.302087, 2478.583373
1, 14, 145.379832, 1628.254122
1, 15, 244.576726, 2739.259333
1, 16, 280.065379, 3136.732246
1, 17, 182.397363, 2042.850468
1, 18, 225.729040, 2528.165245
1, 19, 172.125846, 1927.809478
1, 20, 198.316627, 2221.146217
1, 21, 94.229957, 1055.375520
1, 22, 235.404235, 2636.527430
1, 23, 230.438508, 2580.911295
1, 24, 160.859253, 1801.623638
1, 25, 119.253313, 1335.637107
1, 26, 293.896240, 3291.637883
1, 27, 145.853950, 1633.564237
1, 28, 217.323340, 2434.021410
1, 29, 304.552593, 3410.989047
1, 30, 258.771615, 2898.242090
1, 31, 223.769397, 2506.217244
1, 32, 137.916635, 1544.666307
1, 33, 221.511115, 2480.924488
1, 34, 117.977752, 1321.350823
1, 35, 57.924697, 648.756601
1, 36, 206.363195, 2311.267787
1, 37, 324.624030, 3635.789141
1, 38, 216.572020, 2425.606625
1, 39, 330.574603, 3702.435549
1, 40, 240.315447, 2691.533008
1, 41, 356.545439, 3993.308913
1, 42, 41.662550, 466.620559
1, 43, 343.857344, 3851.202252
1, 44, 215.865719, 2417.696051
1, 45, 171.083805, 1916.138620
1, 46, 180.901825, 2026.100445
1, 47, 157.475902, 1763.730108
1, 48, 126.538648, 1417.232852
1, 49, 293.828888, 3290.883547
1, 50, 130.773351, 1464.661530
1, 51, 231.303838, 2590.602983
1, 52, 319.069487, 3573.578259
1, 53, 234.639517, 2627.962592
1, 54, 109.468295, 1226.044901
1, 55, 210.849066, 2361.509543
1, 56, 88.939148, 996.118458
1, 57, 50.565413, 566.332626
1, 58, 242.090065, 2711.408728
1, 59, 248.395832, 2782.033318
1, 60, 216.938223, 2429.708102
1, 61, 134.799816, 1509.757944
1, 62, 164.542140, 1842.871974
1, 63, 244.744721, 2741.140874
1, 64, 222.085332, 2487.355724
1, 65, 154.343938, 1728.652106
1, 66, 219.413540, 2457.431645
1, 67, 190.821103, 2137.196350
1, 68, 91.664020, 1026.637024
1, 69, 197.851181, 2215.933231
1, 70, 241.897530, 2709.252331
1, 71, 318.487209, 3567.056738
1, 72, 201.198700, 2253.425444
1, 73, 154.461809, 1729.972261
1, 74, 162.619759, 1821.341306
1, 75, 228.041849, 2554.068710
1, 76, 136.119872, 1524.542564
1, 77, 211.258571, 2366.095998
1, 78, 247.443904, 2771.371722
1, 79, 197.543781, 2212.490346
1, 80, 144.538743, 1618.833921
1, 81, 325.458749, 3645.137993
1, 82, 224.252479, 2511.627762
1, 83, 127.479398, 1427.769254
1, 84, 97.019018, 1086.613006
1, 85, 216.724115, 2427.310088
1, 86, 267.186654, 2992.490527
1, 87, 358.001238, 4009.613869
1, 88, 213.450967, 2390.650829
1, 89, 338.071939, 3786.405720
1, 90, 175.225496, 1962.525554
1, 91, 250.370125, 2804.145404
1, 92, 160.810402, 1801.076499
1, 93, 238.044133, 2666.094294
1, 94, 183.019658, 2049.820169
1, 95, 194.946792, 2183.404065
1, 96, 375.286668, 4203.210677
1, 97, 222.348499, 2490.303186
1, 98, 234.901251, 2630.894008
1, 99, 170.253027, 1906.833907
1, 100, 214.089225, 2397.799320
2, 0, 382.735735, 4286.640231
2, 1, 341.456692, 3824.314950
2, 2, 0.000000, 0.000000
2, 3, 272.337244, 3050.177133
2, 4, 123.091199, 1378.621424
2, 5, 10.300859, 115.369615
2, 6, 344.236301, 3855.446570
2, 7, 459.128062, 5142.234299
2, 8, 367.558385, 4116.653914
2, 9, 299.587592, 3355.381030
2, 10, 458.533593, 5135.576241
2, 11, 112.858321, 1264.013196
2, 12, 22.622923, 253.376735
2, 13, 420.532665, 4709.965843
2, 14, 242.583028, 2716.929918
2, 15, 128.117979, 1434.921370
2, 16, 479.295957, 5368.114715
2, 17, 192.842034, 2159.830780
2, 18, 383.414686, 4294.244482
2, 19, 294.615165, 3299.689853
2, 20, 423.357154, 4741.600124
2, 21, 390.353323, 4371.957215
2, 22, 226.472564, 2536.492713
2, 23, 189.370405, 2120.948532
2, 24, 375.141760, 4201.587714
2, 25, 286.368584, 3207.328141
2, 26, 106.649205, 1194.471094
2, 27, 384.288702, 4304.033465
2, 28, 197.584450, 2212.945840
2, 29, 124.734633, 1397.027894
2, 30, 116.110057, 1300.432639
2, 31, 216.621516, 2426.160977
2, 32, 322.386840, 3610.732608
2, 33, 150.890055, 1689.968619
2, 34, 326.529129, 3657.126249
