% nodeID , nodeType , latDeg , lonDeg , altMeters , parcelWtLbs
0, 0, 37.500058, 126.906105, 0.000000, -1.000000
1, 1, 37.503629, 126.944489, 0.000000, 1.000000
2, 1, 37.501502, 126.917259, 0.000000, 5.000000
3, 1, 37.513642, 126.938248, 0.000000, 2.000000
4, 1, 37.509642, 126.937346, 0.000000, 1.000000
5, 1, 37.497235, 126.938376, 0.000000, 1.000000
6, 1, 37.500477, 126.913533, 0.000000, 2.000000
7, 1, 37.497171, 126.923368, 0.000000, 4.000000
8, 1, 37.504154, 126.930907, 0.000000, 100.000000
9, 1, 37.503955, 126.925674, 0.000000, 1.000000
10, 1, 37.496406, 126.943948, 0.000000, 100.000000
11, 1, 37.497384, 126.941602, 0.000000, 3.000000
12, 1, 37.512505, 126.927970, 0.000000, 1.000000
13, 1, 37.494112, 126.945370, 0.000000, 100.000000
14, 1, 37.504233, 126.928252, 0.000000, 1.000000
15, 1, 37.505076, 126.933147, 0.000000, 100.000000
16, 1, 37.513106, 126.906811, 0.000000, 100.000000
17, 1, 37.505784, 126.939306, 0.000000, 100.000000
18, 1, 37.497896, 126.944256, 0.000000, 1.000000
19, 1, 37.506828, 126.913410, 0.000000, 2.000000
20, 1, 37.507690, 126.903892, 0.000000, 2.000000
21, 1, 37.501214, 126.943159, 0.000000, 1.000000
22, 1, 37.505109, 126.921170, 0.000000, 5.000000
23, 1, 37.499049, 126.909762, 0.000000, 3.000000
24, 1, 37.507068, 126.947209, 0.000000, 100.000000
25, 1, 37.496176, 126.931461, 0.000000, 1.000000
26, 1, 37.495071, 126.941343, 0.000000, 1.000000
27, 1, 37.498025, 126.921519, 0.000000, 3.000000
28, 1, 37.497357, 126.952103, 0.000000, 2.000000
29, 1, 37.506033, 126.912488, 0.000000, 4.000000
30, 1, 37.509678, 126.910561, 0.000000, 1.000000
31, 1, 37.506954, 126.924881, 0.000000, 5.000000
32, 1, 37.497612, 126.918044, 0.000000, 100.000000
33, 1, 37.510465, 126.944302, 0.000000, 4.000000
34, 1, 37.495632, 126.951545, 0.000000, 4.000000
35, 1, 37.502188, 126.948542, 0.000000, 100.000000
36, 1, 37.495390, 126.918342, 0.000000, 3.000000
37, 1, 37.497122, 126.936910, 0.000000, 100.000000
38, 1, 37.502998, 126.941762, 0.000000, 3.000000
39, 1, 37.505273, 126.907757, 0.000000, 2.000000
40, 1, 37.506424, 126.932957, 0.000000, 1.000000
41, 1, 37.496459, 126.930853, 0.000000, 5.000000
42, 1, 37.507604, 126.942531, 0.000000, 100.000000
43, 1, 37.505435, 126.944596, 0.000000, 5.000000
44, 1, 37.498895, 126.935998, 0.000000, 3.000000
45, 1, 37.509257, 126.946393, 0.000000, 4.000000
46, 1, 37.512534, 126.934288, 0.000000, 3.000000
47, 1, 37.505608, 126.934733, 0.000000, 1.000000
48, 1, 37.503311, 126.926164, 0.000000, 3.000000
49, 1, 37.494030, 126.940767, 0.000000, 2.000000
50, 1, 37.511973, 126.910994, 0.000000, 4.000000
