% from location i, to location j, time [sec], distance [meters]
0, 0, 0.000000, 0.000000
0, 1, 199.504099, 2234.445905
0, 2, 177.463002, 1987.585625
0, 3, 443.988913, 4972.675827
0, 4, 105.509122, 1181.702171
0, 5, 312.195215, 3496.586406
0, 6, 210.798753, 2360.946038
0, 7, 150.774444, 1688.673778
0, 8, 213.289047, 2388.837324
0, 9, 260.494947, 2917.543403
0, 10, 317.430992, 3555.227106
0, 11, 120.150250, 1345.682796
0, 12, 205.502691, 2301.630137
0, 13, 158.254080, 1772.445693
0, 14, 114.163517, 1278.631391
0, 15, 327.443129, 3667.363044
0, 16, 52.215095, 584.809060
0, 17, 74.380558, 833.062245
0, 18, 77.740599, 870.694714
0, 19, 103.856186, 1163.189280
0, 20, 181.537979, 2033.225360
0, 21, 48.138630, 539.152660
0, 22, 173.373769, 1941.786209
0, 23, 145.144417, 1625.617475
0, 24, 86.017111, 963.391644
0, 25, 320.066201, 3584.741452
1, 0, 199.504099, 2234.445905
1, 1, 0.000000, 0.000000
1, 2, 243.479239, 2726.967477
1, 3, 294.418182, 3297.483641
1, 4, 157.510980, 1764.122974
1, 5, 189.258029, 2119.689927
1, 6, 166.500181, 1864.802029
1, 7, 205.693844, 2303.771056
1, 8, 64.354966, 720.775616
1, 9, 152.086597, 1703.369892
1, 10, 194.493806, 2178.330626
1, 11, 98.158746, 1099.377961
1, 12, 185.884405, 2081.905336
1, 13, 185.149147, 2073.670448
1, 14, 128.110286, 1434.835201
1, 15, 169.477169, 1898.144291
1, 16, 211.761155, 2371.724940
1, 17, 244.279035, 2735.925194
1, 18, 143.941223, 1612.141699
1, 19, 129.568932, 1451.172038
1, 20, 32.018669, 358.609093
1, 21, 172.233405, 1929.014141
1, 22, 109.619075, 1227.733637
1, 23, 200.063817, 2240.714754
1, 24, 131.761352, 1475.727143
1, 25, 170.495470, 1909.549266
2, 0, 177.463002, 1987.585625
2, 1, 243.479239, 2726.967477
2, 2, 0.000000, 0.000000
2, 3, 350.033967, 3920.380426
2, 4, 125.402484, 1404.507826
2, 5, 174.396608, 1953.242014
2, 6, 342.401967, 3834.902027
2, 7, 65.968726, 738.849734
2, 8, 292.847560, 3279.892672
2, 9, 250.537262, 2806.017329
2, 10, 179.632385, 2011.882714
2, 11, 187.364847, 2098.486291
2, 12, 70.119943, 785.343366
2, 13, 69.852515, 782.348172
2, 14, 217.933334, 2440.853341
2, 15, 233.824095, 2618.829862
2, 16, 226.937170, 2541.696304
2, 17, 220.208909, 2466.339776
2, 18, 181.634588, 2034.307383
2, 19, 164.854512, 1846.370538
2, 20, 242.037193, 2710.816560
2, 21, 186.990522, 2094.293848
2, 22, 141.625933, 1586.210450
2, 23, 60.338699, 675.793432
2, 24, 169.005848, 1892.865499
2, 25, 226.111255, 2532.446051
3, 0, 443.988913, 4972.675827
3, 1, 294.418182, 3297.483641
3, 2, 350.033967, 3920.380426
3, 3, 0.000000, 0.000000
3, 4, 364.481322, 4082.190809
3, 5, 203.376257, 2277.814079
3, 6, 444.065851, 4973.537533
3, 7, 371.566506, 4161.544863
3, 8, 341.920636, 3829.511121
3, 9, 209.538301, 2346.828972
3, 10, 208.612034, 2336.454779
3, 11, 338.276055, 3788.691818
3, 12, 302.187346, 3384.498271
3, 13, 348.065007, 3898.328076
3, 14, 372.595100, 4173.065123
3, 15, 169.182368, 1894.842517
3, 16, 465.550681, 5214.167624
3, 17, 488.763850, 5474.155116
3, 18, 388.426038, 4350.371621
3, 19, 362.832925, 4063.728763
3, 20, 322.964863, 3617.206468
3, 21, 416.718220, 4667.244063
3, 22, 315.166418, 3529.863882
3, 23, 365.936479, 4098.488561
3, 24, 371.878661, 4165.041001
3, 25, 133.348795, 1493.506500
4, 0, 105.509122, 1181.702171
4, 1, 157.510980, 1764.122974
4, 2, 125.402484, 1404.507826
4, 3, 364.481322, 4082.190809
4, 4, 0.000000, 0.000000
